Time period,Rate
1994-01,11.78
1994-02,11.87
1994-03,11.87
1994-04,11.87
1994-05,12.24
1994-06,12.87
1994-07,13.39
1994-08,13.87
1994-09,15.43
1994-10,17
1994-11,17
1994-12,18.45
1995-01,18.5
1995-02,18.35
1995-03,17.36
1995-04,16.19
1995-05,15.5
1995-06,15
1995-07,14.95
1995-08,14.7
1995-09,14.75
1995-10,15.28
1995-11,15.7
1995-12,15.64
1996-01,15.2
1996-02,15.49
1996-03,15.5
1996-04,15.63
1996-05,16.3
1996-06,17.13
1996-07,18.5
1996-08,17.75
1996-09,17.25
1996-10,16.99
1996-11,16.7
1996-12,16.6
1997-01,16.17
1997-02,15.68
1997-03,15.4
1997-04,15.4
1997-05,15.4
1997-06,14.92
1997-07,14.2
1997-08,14.27
1997-09,14.9
1997-10,14.9
1997-11,14.9
1997-12,14.9
1998-01,14.85
1998-02,14.37
1998-03,14.02
1998-04,13.7
1998-05,13.38
1998-06,13.04
1998-07,12.78
1998-08,11.39
1998-09,11
1998-10,14.35
1998-11,14.35
1998-12,14.35
1999-01,15
1999-02,14.93
1999-03,14.5
1999-04,13.98
1999-05,13.5
1999-06,13.5
1999-07,13.45
1999-08,13
1999-09,13
1999-10,13
1999-11,12.94
1999-12,12.67
2000-01,12.14
2000-02,11.72
2000-03,11.38
2000-04,11.06
2000-05,10.8
2000-06,10.8
2000-07,10.77
2000-08,10.59
2000-09,10.37
2000-10,10.06
2000-11,9.89
2000-12,9.67
2001-01,9.5
2001-02,9.2
2001-03,8.97
2001-04,8.7
2001-05,8.7
2001-06,8.4
2001-07,7.96
2001-08,7.8
2001-09,7.8
2001-10,7.8
2001-11,7.58
2001-12,6.85
2002-01,5.3
2002-02,5.3
2002-03,5.86
2002-04,5.93
2002-05,6.13
2002-06,8.2
2002-07,10.6
2002-08,10.6
2002-09,10.6
2002-10,10.6
2002-11,10.6
2002-12,10.56
2003-01,10.4
2003-02,10.4
2003-03,10.37
2003-04,10.2
2003-05,9.86
2003-06,9.42
2003-07,9
2003-08,8.44
2003-09,7.92
2003-10,7.57
2003-11,7.05
2003-12,6.7
2004-01,6.27
2004-02,5.97
2004-03,5.8
2004-04,5.6
2004-05,5.6
2004-06,5.6
2004-07,5.6
2004-08,5.6
2004-09,5.6
2004-10,5.6
2004-11,5.56
2004-12,5.39
2005-01,5.17
2005-02,5
2005-03,5
2005-04,5
2005-05,5
2005-06,5
2005-07,5
2005-08,5
2005-09,5
2005-10,5.27
2005-11,5.5
2005-12,5.98
2006-01,6.04
2006-02,6.25
2006-03,6.25
2006-04,6.52
2006-05,6.75
2006-06,6.75
2006-07,6.78
2006-08,7
2006-09,7
2006-10,6.95
2006-11,6.74
2006-12,6.44
2007-01,6
2007-02,5.75
2007-03,5.5
2007-04,5.46
2007-05,5.24
2007-06,5
2007-07,5.02
2007-08,5.26
2007-09,5.5
2007-10,5.5
2007-11,5.5
2007-12,5.53
2008-01,5.75
2008-02,5.72
2008-03,5.17
2008-04,4.75
2008-05,4.77
2008-06,5.03
2008-07,5.25
2008-08,5.52
2008-09,5.75
2008-10,5.41
2008-11,4.65
2008-12,4
2009-01,3.18
2009-02,2.47
2009-03,2.2
2009-04,2
2009-05,2
2009-06,2
2009-07,2
2009-08,2.03
2009-09,2.25
2009-10,2.25
2009-11,2.27
2009-12,2.5
2010-01,2.75
2010-02,2.75
2010-03,2.75
2010-04,2.99
2010-05,3
2010-06,3
2010-07,3.02
2010-08,3.25
2010-09,3.25
2010-10,3.48
2010-11,3.5
2010-12,3.5
2011-01,3.53
2011-02,3.79
2011-03,4
2011-04,4.5
2011-05,4.54
2011-06,4.75
2011-07,4.75
2011-08,4.75
2011-09,4.75
2011-10,4.51
2011-11,4.5
2011-12,4.25
2012-01,4.2
2012-02,4.2
2012-03,4
2012-04,4
2012-05,4
2012-06,3.975
2012-07,3.75
2012-08,3.75
2012-09,3.75
2012-10,3.75
2012-11,3.5
2012-12,3.46
2013-01,3.25
2013-02,3.25
2013-03,3.25
2013-04,3.25
2013-05,3.113
2013-06,2.75
2013-07,2.75
2013-08,2.75
2013-09,2.717
2013-10,2.5
2013-11,2.5
2013-12,2.5
2014-01,2.5
2014-02,2.482
2014-03,2.25
2014-04,2.25
2014-05,2.25
2014-06,2.25
2014-07,2.242
2014-08,1.968
2014-09,1.75
2014-10,1.75
2014-11,1.75
2014-12,1.75
2015-01,1.75
2015-02,1.734
2015-03,1.6
2015-04,1.6
2015-05,1.6
2015-06,1.6
2015-07,1.6
2015-08,1.6
2015-09,1.6
2015-10,1.6
2015-11,1.6
2015-12,1.6
2016-01,1.6
2016-02,1.6
2016-03,1.6
2016-04,1.6
2016-05,1.6
2016-06,1.6
2016-07,1.6
2016-08,1.6
2016-09,1.6
2016-10,1.6
2016-11,1.6
2016-12,1.6
2017-01,1.6
2017-02,1.6
2017-03,1.6
2017-04,1.6
2017-05,1.6
2017-06,1.6
2017-07,1.6
2017-08,1.6
2017-09,1.6
2017-10,1.6
2017-11,1.6
2017-12,1.6
2018-01,1.6
2018-02,1.6
2018-03,1.6
2018-04,1.6
2018-05,1.6
2018-06,1.6
2018-07,1.6
2018-08,1.6
2018-09,1.6
2018-10,1.6
2018-11,1.61
2018-12,1.75
2019-01,1.75
2019-02,1.75
2019-03,1.75
2019-04,1.75
2019-05,1.75
2019-06,1.75
2019-07,1.75
2019-08,1.75
2019-09,1.75
2019-10,1.75
2019-11,1.75
2019-12,1.75
2020-01,1.75
2020-02,1.75
2020-03,1.75
2020-04,1.645
2020-05,1.6
2020-06,1.6
2020-07,1.6
2020-08,1.6
2020-09,1.6
2020-10,1.6
2020-11,1.6
2020-12,1.6
2021-01,1.6
2021-02,1.6
2021-03,1.6
2021-04,1.6
2021-05,1.6
2021-06,1.6
2021-07,1.6
2021-08,1.6
2021-09,1.6
2021-10,1.6
2021-11,1.6
2021-12,1.6
2022-01,1.6
2022-02,1.6
2022-03,1.6
2022-04,1.742
2022-05,1.927
2022-06,2.25
2022-07,2.653
2022-08,2.919
2022-09,3.5
2022-10,4.056
2022-11,4.367
2022-12,4.75
2023-01,5.185
2023-02,5.357
2023-03,5.75
2023-04,5.95
2023-05,6.056
2023-06,6.25
2023-07,6.25
2023-08,6.25
2023-09,6.25
2023-10,6.25
2023-11,6.25
2023-12,6.25
